Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00896922200126715,2.35194162194197E-05,0.0179811176086975,0,0,0,5.21106238092598,0.0633320335254252,-1.57025952752081E-07,-3.6679637242798E-07,0.119212913285128,6.33714518991438E-07,0.181818429904202,0,0,0,0,0,0,package://alfa_robot_v2_arm_v5/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://alfa_robot_v2_arm_v5/meshes/base_link.STL,,base^整机总装配体-1/光轴固定座（20mm）-1;base^整机总装配体-1/LVM060（600W抱闸）-1;base^整机总装配体-1/M32滚珠丝杆_抬升-1;base^整机总装配体-1/HGR45R500C_GW202604018238-1;base^整机总装配体-1/小车底板-1;base^整机总装配体-1/HGR45R500C_GW202604018238-2;base^整机总装配体-1/M20立式轴承座-1;base^整机总装配体-1/M20立式轴承座-2;base^整机总装配体-1/M20立式轴承座-3;base^整机总装配体-1/M20立式轴承座-4;base^整机总装配体-1/光轴固定座（20mm）-2;base^整机总装配体-1/光轴M20_159-1;base^整机总装配体-1/推力轴承20_40_14-1;base^整机总装配体-1/推力轴承20_40_14-2;base^整机总装配体-1/推力轴承20_40_14-3;base^整机总装配体-1/推力轴承20_40_14-4;base^整机总装配体-1/光轴固定座（20mm）-3;base^整机总装配体-1/光轴固定座（20mm）-4;base^整机总装配体-1/光轴M20_159-2;base^整机总装配体-1/推力轴承20_40_14-5;base^整机总装配体-1/推力轴承20_40_14-6;base^整机总装配体-1/推力轴承20_40_14-7;base^整机总装配体-1/推力轴承20_40_14-8,base c,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
pitch,-0.183397999558459,0.0545010153613339,0.0715734703575166,0,0,0,8.58336880504669,0.124435457262368,2.02803903431476E-08,2.28516147020644E-07,0.124487649250478,3.22538967506326E-07,0.244616732919204,0,0,0,0,0,0,package://alfa_robot_v2_arm_v5/meshes/pitch.STL,1,1,1,1,0,0,0,0,0,0,package://alfa_robot_v2_arm_v5/meshes/pitch.STL,,pitch^整机总装配体-1/M20立式轴承座_加厚-1;pitch^整机总装配体-1/M20立式轴承座_加厚-2;pitch^整机总装配体-1/零差V6电机-2;pitch^整机总装配体-1/电机托板-2;pitch^整机总装配体-1/回转支撑-2;pitch^整机总装配体-1/底板-4,pitch c,pitch a,pitch,revolute,0.259,-0.0545,0.05,0,0,0,base_link,0,1,0,0,0,0,0.26,,,,,,,,
turn,-0.00423715055876994,0.000151653813462493,0.816648355630885,0,0,0,14.6204241058131,1.14157538425423,7.97636948946814E-06,0.000444669433631748,1.13530508660618,9.37427800639872E-06,0.09738745294547,0,0,0,0,0,0,package://alfa_robot_v2_arm_v5/meshes/turn.STL,1,1,1,1,0,0,0,0,0,0,package://alfa_robot_v2_arm_v5/meshes/turn.STL,,turn^整机总装配体-1/80角码-1;turn^整机总装配体-1/铝型材80120E-1;turn^整机总装配体-1/120角码-1;turn^整机总装配体-1/80角码-2;turn^整机总装配体-1/升降电机固定板-1;turn^整机总装配体-1/LVM13020M3G2-M17-1;turn^整机总装配体-1/顶板-1;turn^整机总装配体-1/M32滚珠丝杆-1;turn^整机总装配体-1/22-25联轴器-1;turn^整机总装配体-1/M25菱形轴承座-1;turn^整机总装配体-1/CGR30R1169C-1;turn^整机总装配体-1/CGR30R1169C-2;turn^整机总装配体-1/CGR30R1169C-3;turn^整机总装配体-1/回转支承上板-1,turn c,turn a,turn,continuous,-0.189,0.0545,0.12,0,0,0,pitch,0,0,1,,,,,,,,,,,,
updown,0.065954669531775,1.77114960508984E-06,0.111303069326077,0,0,0,6.08886649704347,0.0989759733533819,-2.19180019942803E-08,1.32928434193498E-06,0.0248060445769484,3.45444492322773E-11,0.119895280054362,0,0,0,0,0,0,package://alfa_robot_v2_arm_v5/meshes/updown.STL,1,1,1,1,0,0,0,0,0,0,package://alfa_robot_v2_arm_v5/meshes/updown.STL,,updown^整机总装配体-1/M32丝杆螺母-1;updown^整机总装配体-1/updown底板-1;updown^整机总装配体-1/4080铝型材664-1;updown^整机总装配体-1/4080铝型材260-1;updown^整机总装配体-1/4080铝型材260-2;updown^整机总装配体-1/4080铝型材664-3;updown^整机总装配体-1/左右滑块角码-1;updown^整机总装配体-1/左右滑块角码-2;updown^整机总装配体-1/左右滑块角码-3;updown^整机总装配体-1/CGH30CAZ0C_GW-1;updown^整机总装配体-1/CGH30CAZ0C_GW-2;updown^整机总装配体-1/CGH30CAZ0C_GW-3;updown^整机总装配体-1/updown顶板-1;updown^整机总装配体-1/updown顶板-2;updown^整机总装配体-1/基座-1;updown^整机总装配体-1/基座-2,updown c,updown a,updown,prismatic,-0.07,0.0005,0.0645,0,0,0,turn,0,0,1,0,0,0,0.99,,,,,,,,
leftjoint1,3.98376137018541E-05,0.0126477750253194,0.0492338003578434,0,0,0,1.26276969364824,0.00263426449889698,1.39299639124709E-06,-2.78631072895881E-06,0.00268939190272101,-7.0690632990526E-05,0.00230762866755196,0,0,0,0,0,0,package://alfa_robot_v2_arm_v5/meshes/leftjoint1.STL,1,1,1,1,0,0,0,0,0,0,package://alfa_robot_v2_arm_v5/meshes/leftjoint1.STL,,leftjoint1^整机总装配体-1/T型电机-1;leftjoint1^整机总装配体-1/6-5连接板-1,leftjoint1 c,leftjoint1 a,leftjoint1,continuous,0.105,0.26,0.2,0,0,0,updown,0,0,1,0,0,0,0,,,,,,,,
leftjoint2,-2.02060590481778E-14,-0.200000000000001,0.192749470015582,0,0,0,2.29867987677898,0.0167934021362825,-1.56125112837913E-17,1.42815812294016E-17,0.0137429160924878,-4.6463569488202E-18,0.0130582608880253,0,0,0,0,0,0,package://alfa_robot_v2_arm_v5/meshes/leftjoint2.STL,1,1,1,1,0,0,0,0,0,0,package://alfa_robot_v2_arm_v5/meshes/leftjoint2.STL,,leftjoint2^整机总装配体-1/大扭矩关节电机-1;leftjoint2^整机总装配体-1/拐角件-1;leftjoint2^整机总装配体-1/机械臂管-1;leftjoint2^整机总装配体-1/拐角件-2,leftjoint2 c,leftjoint2 a,leftjoint2,continuous,0,0.0905,0.058,-1.5708,0,0,leftjoint1,0,0,1,0,0,0,0,,,,,,,,
leftjoint3,8.50278292219286E-10,-0.161826821925973,-0.142215766657612,0,0,0,1.06877306914919,0.00576467932665098,7.14127431234585E-11,-1.52931538107986E-11,0.00323480538353984,-0.000627938051589377,0.00557699385658163,0,0,0,0,0,0,package://alfa_robot_v2_arm_v5/meshes/leftjoint3.STL,1,1,1,1,0,0,0,0,0,0,package://alfa_robot_v2_arm_v5/meshes/leftjoint3.STL,,leftjoint3^整机总装配体-1/大扭矩关节电机-1;leftjoint3^整机总装配体-1/前端拐角件-1;leftjoint3^整机总装配体-1/前端连接臂-1,leftjoint3 c,leftjoint3 a,leftjoint3,continuous,0,-0.4,0.072,0,0,0,leftjoint2,0,0,1,0,0,0,0,,,,,,,,
leftjoint4,4.39937389380418E-05,0.00548997582265937,0.0483192602116806,0,0,0,1.14347572516569,0.00245438978578032,1.39299733480971E-06,-2.7863076906024E-06,0.0023457756103248,-7.06906282100456E-05,0.00212775395802631,0,0,0,0,0,0,package://alfa_robot_v2_arm_v5/meshes/leftjoint4.STL,1,1,1,1,0,0,0,0,0,0,package://alfa_robot_v2_arm_v5/meshes/leftjoint4.STL,,leftjoint4^整机总装配体-1/T型电机-1,leftjoint4 c,leftjoint4 a,leftjoint4,continuous,0,-0.339,-0.15,1.5708,0,0,leftjoint3,0,0,1,0,0,0,0,,,,,,,,
leftjoint5,-4.39220865777745E-05,-0.00549003448929664,0.0493192397165389,0,0,0,1.14347600233794,0.00245439627542261,1.39396565378349E-06,2.78609959051481E-06,0.00234577474624758,7.06885746164186E-05,0.00212775160838843,0,0,0,0,0,0,package://alfa_robot_v2_arm_v5/meshes/leftjoint5.STL,1,1,1,1,0,0,0,0,0,0,package://alfa_robot_v2_arm_v5/meshes/leftjoint5.STL,,leftjoint5^整机总装配体-1/T型电机-1,leftjoint5 c,leftjoint5 a,leftjoint5,continuous,0,0.075,0.058,-1.5708,0,0,leftjoint4,0,0,1,0,0,0,0,,,,,,,,
leftjoint6,0.00023532815733418,9.11432961720343E-05,0.087447372777676,0,0,0,1.76089178335136,0.00779270426493984,-7.86255995574129E-08,2.89944411407093E-07,0.00558315762821446,-2.686584257496E-07,0.0124506991804597,0,0,0,0,0,0,package://alfa_robot_v2_arm_v5/meshes/leftjoint6.STL,1,1,1,1,0,0,0,0,0,0,package://alfa_robot_v2_arm_v5/meshes/leftjoint6.STL,,leftjoint6^整机总装配体-1/零差V6电机-1;leftjoint6^整机总装配体-1/I型电机固定件-1;leftjoint6^整机总装配体-1/I-T连接板-1;leftjoint6^整机总装配体-1/铜柱-1;leftjoint6^整机总装配体-1/吸盘底盘-1,leftjoint6 c,leftjoint6 a,leftjoint6,continuous,0,-0.083,0.059,1.5708,0,0,leftjoint5,0,0,1,0,0,0,0,,,,,,,,
