Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.441931108556322,0.000259961331018452,0.176428166472851,0,0,0,394.931465036981,66.5681215725466,5.74779464985202E-10,9.85014992290203,65.6389024339403,2.76043833685991E-09,112.938477587322,0,0,0,0,0,0,package://alfa_robot_new_arm_v2/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://alfa_robot_new_arm_v2/meshes/base_link.STL,,兰剑智能180底盘20260103-1/零件9^兰剑智能180底盘20260103-1,base c,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
turn,-0.0697894032768815,-0.00012433244764639,0.982155423971065,0,0,0,42.0737844290435,10.0720353784748,-1.75362629131178E-06,5.29823321336754E-05,10.0937833616587,1.43589075450652E-06,0.327199381319826,0,0,0,0,0,0,package://alfa_robot_new_arm_v2/meshes/turn.STL,1,1,1,1,0,0,0,0,0,0,package://alfa_robot_new_arm_v2/meshes/turn.STL,,turn^主装配体-1/主骨架-1/电机1固定板-1;turn^主装配体-1/主骨架-1/3030角码-2;turn^主装配体-1/主骨架-1/3030角码-3;turn^主装配体-1/主骨架-1/3030角码-4;turn^主装配体-1/主骨架-1/3030角码-8;turn^主装配体-1/主骨架-1/电机1固定侧板-1;turn^主装配体-1/主骨架-1/电机1固定侧板-2;turn^主装配体-1/主骨架-1/200200欧标铝型材——主躯干-1;turn^主装配体-1/主骨架-1/M8滑块螺母-1;turn^主装配体-1/主骨架-1/M8滑块螺母-2;turn^主装配体-1/主骨架-1/M8滑块螺母-4;turn^主装配体-1/主骨架-1/M8弹簧垫圈-3;turn^主装配体-1/主骨架-1/M8_25内六角螺栓-4;turn^主装配体-1/主骨架-1/6_10垫圈-1;turn^主装配体-1/主骨架-1/M6_40内六角螺栓-16;turn^主装配体-1/主骨架-1/M6防滑螺母-1;turn^主装配体-1/主骨架-1/6_10垫圈-4;turn^主装配体-1/主骨架-1/6_10垫圈-5;turn^主装配体-1/主骨架-1/6_10垫圈-6;turn^主装配体-1/主骨架-1/M6_40内六角螺栓-17;turn^主装配体-1/主骨架-1/M6_40内六角螺栓-19;turn^主装配体-1/主骨架-1/M6_40内六角螺栓-18;turn^主装配体-1/主骨架-1/M6防滑螺母-3;turn^主装配体-1/主骨架-1/M6防滑螺母-4;turn^主装配体-1/主骨架-1/M6防滑螺母-8;turn^主装配体-1/主骨架-1/卧式轴座30mm-1;turn^主装配体-1/主骨架-1/卧式轴座30mm-2;turn^主装配体-1/主骨架-1/卧式轴座30mm-3;turn^主装配体-1/主骨架-1/卧式轴座30mm-4;turn^主装配体-1/主骨架-1/6_10垫圈-9;turn^主装配体-1/主骨架-1/M6_40内六角螺栓-15;turn^主装配体-1/主骨架-1/M6_40内六角螺栓-14;turn^主装配体-1/主骨架-1/M6_40内六角螺栓-13;turn^主装配体-1/主骨架-1/M6_40内六角螺栓-12;turn^主装配体-1/主骨架-1/M6防滑螺母-9;turn^主装配体-1/主骨架-1/M6防滑螺母-10;turn^主装配体-1/主骨架-1/M6防滑螺母-11;turn^主装配体-1/主骨架-1/M6防滑螺母-12;turn^主装配体-1/主骨架-1/6_10垫圈-10;turn^主装配体-1/主骨架-1/6_10垫圈-11;turn^主装配体-1/主骨架-1/6_10垫圈-12;turn^主装配体-1/主骨架-1/5050角码-10;turn^主装配体-1/主骨架-1/5050角码-11;turn^主装配体-1/主骨架-1/M8_25内六角螺栓-9;turn^主装配体-1/主骨架-1/M8_25内六角螺栓-10;turn^主装配体-1/主骨架-1/M8弹簧垫圈-11;turn^主装配体-1/主骨架-1/M8弹簧垫圈-12;turn^主装配体-1/主骨架-1/顶板——主躯干-1;turn^主装配体-1/主骨架-1/卧式轴座30mm-5;turn^主装配体-1/主骨架-1/卧式轴座30mm-6;turn^主装配体-1/主骨架-1/卧式轴座30mm-7;turn^主装配体-1/主骨架-1/卧式轴座30mm-8;turn^主装配体-1/主骨架-1/8_15垫圈-1;turn^主装配体-1/主骨架-1/8_15垫圈-2;turn^主装配体-1/主骨架-1/8_15垫圈-3;turn^主装配体-1/主骨架-1/8_15垫圈-4;turn^主装配体-1/主骨架-1/8_15垫圈-5;turn^主装配体-1/主骨架-1/8_15垫圈-6;turn^主装配体-1/主骨架-1/8_15垫圈-7;turn^主装配体-1/主骨架-1/8_15垫圈-8;turn^主装配体-1/主骨架-1/M8_45内六角螺栓-15;turn^主装配体-1/主骨架-1/M8_45内六角螺栓-21;turn^主装配体-1/主骨架-1/M8_45内六角螺栓-20;turn^主装配体-1/主骨架-1/M8_45内六角螺栓-19;turn^主装配体-1/主骨架-1/M8_45内六角螺栓-18;turn^主装配体-1/主骨架-1/M8_45内六角螺栓-17;turn^主装配体-1/主骨架-1/M8_45内六角螺栓-16;turn^主装配体-1/主骨架-1/M8_45内六角螺栓-22;turn^主装配体-1/主骨架-1/M8防滑螺母-1;turn^主装配体-1/主骨架-1/M8防滑螺母-2;turn^主装配体-1/主骨架-1/M8防滑螺母-3;turn^主装配体-1/主骨架-1/M8防滑螺母-4;turn^主装配体-1/主骨架-1/M8防滑螺母-5;turn^主装配体-1/主骨架-1/M8防滑螺母-6;turn^主装配体-1/主骨架-1/M8防滑螺母-7;turn^主装配体-1/主骨架-1/M8防滑螺母-8;turn^主装配体-1/主骨架-1/M8_35内六角螺栓-29;turn^主装配体-1/主骨架-1/M8_35内六角螺栓-28;turn^主装配体-1/主骨架-1/M8_35内六角螺栓-27;turn^主装配体-1/主骨架-1/M8_35内六角螺栓-26;turn^主装配体-1/主骨架-1/M8_35内六角螺栓-25;turn^主装配体-1/主骨架-1/M8_35内六角螺栓-24;turn^主装配体-1/主骨架-1/M8_35内六角螺栓-23;turn^主装配体-1/主骨架-1/M8_35内六角螺栓-22;turn^主装配体-1/主骨架-1/M8防滑螺母-9;turn^主装配体-1/主骨架-1/M8防滑螺母-10;turn^主装配体-1/主骨架-1/M8防滑螺母-11;turn^主装配体-1/主骨架-1/M8防滑螺母-12;turn^主装配体-1/主骨架-1/M8防滑螺母-13;turn^主装配体-1/主骨架-1/M8防滑螺母-14;turn^主装配体-1/主骨架-1/M8防滑螺母-15;turn^主装配体-1/主骨架-1/M8防滑螺母-16;turn^主装配体-1/主骨架-1/8_15垫圈-9;turn^主装配体-1/主骨架-1/8_15垫圈-10;turn^主装配体-1/主骨架-1/8_15垫圈-11;turn^主装配体-1/主骨架-1/8_15垫圈-12;turn^主装配体-1/主骨架-1/8_15垫圈-13;turn^主装配体-1/主骨架-1/8_15垫圈-14;turn^主装配体-1/主骨架-1/8_15垫圈-15;turn^主装配体-1/主骨架-1/8_15垫圈-16;turn^主装配体-1/主骨架-1/22-30联轴器-1;turn^主装配体-1/主骨架-1/M40滚珠丝杆-1;turn^主装配体-1/主骨架-1/M25菱形轴承座-1;turn^主装配体-1/主骨架-1/M8滑块螺母-12;turn^主装配体-1/主骨架-1/M8滑块螺母-13;turn^主装配体-1/主骨架-1/5050角码-12;turn^主装配体-1/主骨架-1/5050角码-13;turn^主装配体-1/主骨架-1/M8弹簧垫圈-13;turn^主装配体-1/主骨架-1/M8弹簧垫圈-14;turn^主装配体-1/主骨架-1/M8_25内六角螺栓-11;turn^主装配体-1/主骨架-1/M8_25内六角螺栓-12;turn^主装配体-1/主骨架-1/M8防滑螺母-17;turn^主装配体-1/主骨架-1/M8防滑螺母-18;turn^主装配体-1/主骨架-1/8_15垫圈-17;turn^主装配体-1/主骨架-1/8_15垫圈-18;turn^主装配体-1/主骨架-1/M8_30内六角螺栓-17;turn^主装配体-1/主骨架-1/M8_30内六角螺栓-18;turn^主装配体-1/主骨架-1/10_14垫圈-1;turn^主装配体-1/主骨架-1/10_14垫圈-2;turn^主装配体-1/主骨架-1/M10_30内六角螺栓-1;turn^主装配体-1/主骨架-1/M10_30内六角螺栓-2;turn^主装配体-1/主骨架-1/M10防滑螺母-1;turn^主装配体-1/主骨架-1/M10防滑螺母-2;turn^主装配体-1/主骨架-1/抗扭矩导轨2040-1;turn^主装配体-1/主骨架-1/M8滑块螺母-18;turn^主装配体-1/主骨架-1/8_15垫圈-19;turn^主装配体-1/主骨架-1/8_15垫圈-20;turn^主装配体-1/主骨架-1/M8防滑螺母-19;turn^主装配体-1/主骨架-1/M8防滑螺母-20;turn^主装配体-1/主骨架-1/M8_40内六角螺栓-21;turn^主装配体-1/主骨架-1/M8_40内六角螺栓-20;turn^主装配体-1/主骨架-1/M8_35内六角螺栓-1;turn^主装配体-1/主骨架-1/深度相机-1;turn^主装配体-1/主骨架-1/舵机1-1;turn^主装配体-1/主骨架-1/相机支撑板-1;turn^主装配体-1/主骨架-1/舵盘-1;turn^主装配体-1/主骨架-1/舵机支撑板-1;turn^主装配体-1/主骨架-1/六面螺母-1;turn^主装配体-1/主骨架-1/六面螺母-2;turn^主装配体-1/主骨架-1/M3_6内六角螺栓-1;turn^主装配体-1/主骨架-1/M3_6内六角螺栓-2;turn^主装配体-1/主骨架-1/M3_14内六角螺栓-1;turn^主装配体-1/主骨架-1/M3_14内六角螺栓-2;turn^主装配体-1/主骨架-1/LVM13030M3G2-M17-S20-2Z-1;turn^主装配体-1/主骨架-1/200200角码-1;turn^主装配体-1/主骨架-1/200200角码-2;turn^主装配体-1/主骨架-1/200200角码-3;turn^主装配体-1/主骨架-1/200200角码-4;turn^主装配体-1/主骨架-1/2020mm光杆-1;turn^主装配体-1/主骨架-1/2020mm光杆-2;turn^主装配体-1/主骨架-1/2020mm光杆-3;turn^主装配体-1/主骨架-1/2020mm光杆-4;turn^主装配体-1/主骨架-1/200200角码-5;turn^主装配体-1/主骨架-1/200200角码-6;turn^主装配体-1/主骨架-1/M8弹簧垫圈-15;turn^主装配体-1/主骨架-1/M8_20内六角螺栓-17;turn^主装配体-1/主骨架-1/5050角码-14;turn^主装配体-1/主骨架-1/5050角码-15;turn^主装配体-1/主骨架-1/5050角码-16;turn^主装配体-1/主骨架-1/5050角码-17;turn^主装配体-1/主骨架-1/M8_40内六角螺栓-16;turn^主装配体-1/主骨架-1/M8防滑螺母-21;turn^主装配体-1/主骨架-1/M8_40内六角螺栓-22;turn^主装配体-1/主骨架-1/M8防滑螺母-25;turn^主装配体-1/主骨架-1/M8_40内六角螺栓-23;turn^主装配体-1/主骨架-1/M8_40内六角螺栓-24;turn^主装配体-1/主骨架-1/M8_40内六角螺栓-25;turn^主装配体-1/主骨架-1/M8防滑螺母-26;turn^主装配体-1/主骨架-1/M8防滑螺母-27;turn^主装配体-1/主骨架-1/M8防滑螺母-28;turn^主装配体-1/主骨架-1/3030角码-9;turn^主装配体-1/主骨架-1/3030角码-10;radar^主装配体-1/四目固定板-1;radar^主装配体-1/seeker-omni-d-1,turn c,turn a,turn,continuous,-0.007937,0,0.129,0,0,0,base_link,0,0,1,,,,,,,,,,,,
updown,-0.196828632659582,0.0148673483555221,0.0956849238503419,0,0,0,26.931167747836,0.231217459750122,2.93337887014215E-05,0.000951254936009737,0.178754005132662,-1.44830456938328E-05,0.348822965146485,0,0,0,0,0,0,package://alfa_robot_new_arm_v2/meshes/updown.STL,1,1,1,1,0,0,0,0,0,0,package://alfa_robot_new_arm_v2/meshes/updown.STL,,移动底盘-1/updown^移动底盘-1/3030角码-1;移动底盘-1/updown^移动底盘-1/推杆底板-1;移动底盘-1/updown^移动底盘-1/500mm电动推杆-1;移动底盘-1/updown^移动底盘-1/相机支撑板-1;移动底盘-1/updown^移动底盘-1/舵机支撑板-1;移动底盘-1/updown^移动底盘-1/舵盘-1;移动底盘-1/updown^移动底盘-1/导轨280-1;移动底盘-1/updown^移动底盘-1/导轨280-2;移动底盘-1/updown^移动底盘-1/3030角码-2;移动底盘-1/updown^移动底盘-1/3030角码-3;移动底盘-1/updown^移动底盘-1/舵机1-1;移动底盘-1/updown^移动底盘-1/抗扭矩导轨2040-滑块-1;移动底盘-1/updown^移动底盘-1/4040角码-1;移动底盘-1/updown^移动底盘-1/4040角码-2;移动底盘-1/updown^移动底盘-1/4040角码-3;移动底盘-1/updown^移动底盘-1/4040角码-4;移动底盘-1/updown^移动底盘-1/头部背板-1;移动底盘-1/updown^移动底盘-1/4040铝型材140-1;移动底盘-1/updown^移动底盘-1/4040铝型材140-2;移动底盘-1/updown^移动底盘-1/4040铝型材600-1;移动底盘-1/updown^移动底盘-1/4040铝型材600-2;移动底盘-1/updown^移动底盘-1/直线轴承30mm-1;移动底盘-1/updown^移动底盘-1/直线轴承30mm-2;移动底盘-1/updown^移动底盘-1/直线轴承30mm-3;移动底盘-1/updown^移动底盘-1/直线轴承30mm-4;移动底盘-1/updown^移动底盘-1/M40丝杆螺母-1;移动底盘-1/updown^移动底盘-1/推杆固定板-1;移动底盘-1/updown^移动底盘-1/4040角码-5;移动底盘-1/updown^移动底盘-1/4040角码-6;移动底盘-1/updown^移动底盘-1/4040角码-7;移动底盘-1/updown^移动底盘-1/4040角码-8;移动底盘-1/updown^移动底盘-1/4040角码-9;移动底盘-1/updown^移动底盘-1/4040角码-10;移动底盘-1/updown^移动底盘-1/4040角码-11;移动底盘-1/updown^移动底盘-1/4040角码-12;移动底盘-1/updown^移动底盘-1/4040角码-13;移动底盘-1/updown^移动底盘-1/4040角码-14;移动底盘-1/updown^移动底盘-1/4040角码-15;移动底盘-1/updown^移动底盘-1/4040角码-16;移动底盘-1/updown^移动底盘-1/4040角码-17;移动底盘-1/updown^移动底盘-1/4080铝型材-1;移动底盘-1/updown^移动底盘-1/LVM13020M3G2-M17-1;移动底盘-1/updown^移动底盘-1/LVM13020M3G2-M17-2;移动底盘-1/updown^移动底盘-1/PX130伺服..一级-1;移动底盘-1/updown^移动底盘-1/PX130伺服..一级-2;移动底盘-1/updown^移动底盘-1/4040角码-18;移动底盘-1/updown^移动底盘-1/4040角码-19;移动底盘-1/updown^移动底盘-1/4040角码-20;移动底盘-1/updown^移动底盘-1/4040角码-21;移动底盘-1/updown^移动底盘-1/侧板1-1;移动底盘-1/updown^移动底盘-1/侧板1-2;移动底盘-1/updown^移动底盘-1/直角减速电机固定板-1;移动底盘-1/updown^移动底盘-1/直角减速电机固定板-2;移动底盘-1/updown^移动底盘-1/M20菱形轴承座-1;移动底盘-1/updown^移动底盘-1/M20菱形轴承座-2;移动底盘-1/updown^移动底盘-1/M32滚珠丝杆-1;移动底盘-1/updown^移动底盘-1/M32滚珠丝杆-2;移动底盘-1/updown^移动底盘-1/4040角码-22;移动底盘-1/updown^移动底盘-1/4040角码-23;移动底盘-1/updown^移动底盘-1/4040角码-24;移动底盘-1/updown^移动底盘-1/4040角码-25;移动底盘-1/updown^移动底盘-1/4040角码-26;移动底盘-1/updown^移动底盘-1/4040角码-27;移动底盘-1/updown^移动底盘-1/双电机固定板-1;移动底盘-1/updown^移动底盘-1/4040角码-28;移动底盘-1/updown^移动底盘-1/4040角码-29;移动底盘-1/updown^移动底盘-1/4040铝型材285-1;移动底盘-1/updown^移动底盘-1/4040铝型材285-2;移动底盘-1/updown^移动底盘-1/4040角码-30;移动底盘-1/updown^移动底盘-1/4040角码-31;移动底盘-1/updown^移动底盘-1/4040角码-32;移动底盘-1/updown^移动底盘-1/移动底板——主躯干-1;移动底盘-1/updown^移动底盘-1/导轨280-3,updown c,updown d,updown,prismatic,-0.23547,0,0.57771,0,0,0,turn,0,0,1,1000,1,0,1,,,,,,,,
plate,0.0698918884158706,7.80625564189563E-15,-0.0265000000000004,0,0,0,5.63390000000005,0.0596659645833342,-9.22512053184126E-16,-5.63937789705311E-17,0.0554411298589926,-2.0296780597413E-14,0.112469490258993,0,0,0,0,0,0,package://alfa_robot_new_arm_v2/meshes/plate.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://alfa_robot_new_arm_v2/meshes/plate.STL,,移动底盘-1/plate^移动底盘-1/零件7^plate_移动底盘-1,plate c,plate d,plate,prismatic,0.42217,0,0.0325,0,0,0,updown,1,0,0,1000,0.5,0,0.5,,,,,,,,
leftarmbase,0.00858986048699223,-0.0287669594345854,0.0499555606572479,0,0,0,7.06520786853071,0.0164730270054181,9.84172582142273E-06,0.000387662666799276,0.0926777572076808,0.0001209391577568,0.091397951636245,0,0,0,0,0,0,package://alfa_robot_new_arm_v2/meshes/leftarmbase.STL,1,1,1,1,0,0,0,0,0,0,package://alfa_robot_new_arm_v2/meshes/leftarmbase.STL,,新手臂-2/armbase^新手臂-1/M8_30内六角螺栓-1;新手臂-2/armbase^新手臂-1/M8T型螺母-1;新手臂-2/armbase^新手臂-1/M8T型螺母-3;新手臂-2/armbase^新手臂-1/M32丝杆螺母-1;新手臂-2/armbase^新手臂-1/M8T型螺母-4;新手臂-2/armbase^新手臂-1/4040角码-1;新手臂-2/armbase^新手臂-1/4040角码-2;新手臂-2/armbase^新手臂-1/4040角码-3;新手臂-2/armbase^新手臂-1/4040角码-4;新手臂-2/armbase^新手臂-1/4040角码-5;新手臂-2/armbase^新手臂-1/4040角码-6;新手臂-2/armbase^新手臂-1/M6_25内六角螺栓-1;新手臂-2/armbase^新手臂-1/直线轴承30mm-1;新手臂-2/armbase^新手臂-1/M8_35内六角螺栓-1;新手臂-2/armbase^新手臂-1/M8防滑螺母-1;新手臂-2/armbase^新手臂-1/M8弹簧垫圈-1;新手臂-2/armbase^新手臂-1/M8弹簧垫圈-2;新手臂-2/armbase^新手臂-1/M8_16内六角螺栓-1;新手臂-2/armbase^新手臂-1/M8_16内六角螺栓-2;新手臂-2/armbase^新手臂-1/M10_30内六角螺栓-1;新手臂-2/armbase^新手臂-1/M10_30内六角螺栓-2;新手臂-2/armbase^新手臂-1/10_14垫圈-1;新手臂-2/armbase^新手臂-1/10_14垫圈-2;新手臂-2/armbase^新手臂-1/M10防滑螺母-1;新手臂-2/armbase^新手臂-1/M10防滑螺母-2;新手臂-2/armbase^新手臂-1/M6_25内六角螺栓-2;新手臂-2/armbase^新手臂-1/6_10垫圈-1;新手臂-2/armbase^新手臂-1/M6防滑螺母-1;新手臂-2/armbase^新手臂-1/4040角码-7;新手臂-2/armbase^新手臂-1/4040角码-8;新手臂-2/armbase^新手臂-1/M32滚珠丝杆2-1;新手臂-2/armbase^新手臂-1/22-25联轴器-1;新手臂-2/armbase^新手臂-1/电机2固定板-1;新手臂-2/armbase^新手臂-1/LVM13020M3G2-M17-1;新手臂-2/armbase^新手臂-1/电机2支撑板-1;新手臂-2/armbase^新手臂-1/侧板2-1;新手臂-2/armbase^新手臂-1/M20菱形轴承座-1;新手臂-2/armbase^新手臂-1/导轨440-1;新手臂-2/armbase^新手臂-1/移动侧板1-1;新手臂-2/armbase^新手臂-1/M8T型螺母-2;新手臂-2/armbase^新手臂-1/抗扭矩导轨2040-滑块-1;新手臂-2/armbase^新手臂-1/4040铝型材800-1,leftjointbase c,leftjointbase d,leftarmbase,prismatic,-0.16145,0.3282,0.146,0,0,0,updown,0,1,0,1000,0.5,0,0.14,,,,,,,,
leftjoint1,0.32398542150288,0.0675146775051429,-0.0136862113102643,0,0,0,2.48077826581444,0.0026348787049079,-2.78509690352211E-07,2.27753599606112E-06,0.0378277422884527,3.74055166687532E-05,0.0384178105950815,0,0,0,0,0,0,package://alfa_robot_new_arm_v2/meshes/leftjoint1.STL,1,1,1,1,0,0,0,0,0,0,package://alfa_robot_new_arm_v2/meshes/leftjoint1.STL,,新手臂-2/joint1^新手臂-3/卧式轴座30mm-1;新手臂-2/joint1^新手臂-3/4040角码-1;新手臂-2/joint1^新手臂-3/4040角码-2;新手臂-2/joint1^新手臂-3/抗扭矩导轨2040-滑块-1;新手臂-2/joint1^新手臂-3/4040角码-3;新手臂-2/joint1^新手臂-3/4040角码-4;新手臂-2/joint1^新手臂-3/4040角码-5;新手臂-2/joint1^新手臂-3/卧式轴座30mm-2;新手臂-2/joint1^新手臂-3/M8_35内六角螺栓-1;新手臂-2/joint1^新手臂-3/8_15垫圈-1;新手臂-2/joint1^新手臂-3/8_15垫圈-2;新手臂-2/joint1^新手臂-3/M8防滑螺母-1;新手臂-2/joint1^新手臂-3/M8_35内六角螺栓-2;新手臂-2/joint1^新手臂-3/M8防滑螺母-2;新手臂-2/joint1^新手臂-3/M8_35内六角螺栓-3;新手臂-2/joint1^新手臂-3/4040角码-6;新手臂-2/joint1^新手臂-3/M8防滑螺母-3;新手臂-2/joint1^新手臂-3/M32丝杆螺母-1;新手臂-2/joint1^新手臂-3/4040角码-7;新手臂-2/joint1^新手臂-3/4040铝型材550-1;新手臂-2/joint1^新手臂-3/4号电机后固定板-1;新手臂-2/joint1^新手臂-3/-新电机-1;新手臂-2/joint1^新手臂-3/移动侧板2-1;新手臂-2/joint1^新手臂-3/488mm光杆-1,leftjoint1 c,leftjoint1 d,leftjoint1,prismatic,0.15658,-0.096099,0.086,0,0,0,leftarmbase,1,0,0,1000,0.5,0,0.5,,,,,,,,
leftjoint2,0.00998125570987396,-0.0501508012211525,0.0836125943851177,0,0,0,0.924094586385747,0.00138886172299487,-9.60798584640597E-07,-2.47998998359295E-07,0.00126018297864274,6.56045281312999E-07,0.0014853923148985,0,0,0,0,0,0,package://alfa_robot_new_arm_v2/meshes/leftjoint2.STL,1,1,1,1,0,0,0,0,0,0,package://alfa_robot_new_arm_v2/meshes/leftjoint2.STL,,新手臂-2/joint2^新手臂-1/前面电机托板-1;新手臂-2/joint2^新手臂-1/2020角铝-双孔-5;新手臂-2/joint2^新手臂-1/2025-前面电机托板2-1;新手臂-2/joint2^新手臂-1/2020角铝-双孔-4;新手臂-2/joint2^新手臂-1/-新电机-1,leftjoint2 c,leftjoint2 d,leftjoint2,continuous,0.67335,0.10135,0.04,0,1.5708,0,leftjoint1,0,0,1,0,0,-3.14,3.14,,,,,,,,
leftjoint3,0.225299625739963,1.60107813145238E-05,-0.0720438220450934,0,0,0,1.34400405454488,0.00147896138599604,1.09234424169219E-06,-3.74484328782169E-07,0.0027517586466101,-1.75900999614053E-08,0.00279083369334524,0,0,0,0,0,0,package://alfa_robot_new_arm_v2/meshes/leftjoint3.STL,1,1,1,1,0,0,0,0,0,0,package://alfa_robot_new_arm_v2/meshes/leftjoint3.STL,,新手臂-2/joint3^新手臂-2/2号电机后托板-1;新手臂-2/joint3^新手臂-2/20x20-后端-4;新手臂-2/joint3^新手臂-2/20x20-后端-3;新手臂-2/joint3^新手臂-2/20x20-后端-2;新手臂-2/joint3^新手臂-2/20x20-后端-1;新手臂-2/joint3^新手臂-2/3号电机前托板-1;新手臂-2/joint3^新手臂-2/2020角铝-双孔-3;新手臂-2/joint3^新手臂-2/2020角铝-双孔-2;新手臂-2/joint3^新手臂-2/2020角铝-双孔-1;新手臂-2/joint3^新手臂-2/前面电机托板-1;新手臂-2/joint3^新手臂-2/-新电机-1,leftjoint3 c,leftjoint3 d,leftjoint3,continuous,0.01,0.0058,0.098,1.5708,-1.5708,0,leftjoint2,0,0,1,0,0,-3.14,3.14,,,,,,,,
leftjoint4,0.0100204605383918,-0.00985679814963347,0.0840089075623952,0,0,0,0.983457322359293,0.00146324457982104,-1.07921279553368E-06,2.05978166819893E-07,0.00136637778648993,-3.51454994521712E-07,0.00151815899256312,0,0,0,0,0,0,package://alfa_robot_new_arm_v2/meshes/leftjoint4.STL,1,1,1,1,0,0,0,0,0,0,package://alfa_robot_new_arm_v2/meshes/leftjoint4.STL,,新手臂-2/joint4^新手臂-1/前面电机托板-1;新手臂-2/joint4^新手臂-1/前面电机托板2-1;新手臂-2/joint4^新手臂-1/2020角铝-双孔-4;新手臂-2/joint4^新手臂-1/2020角铝-双孔-3;新手臂-2/joint4^新手臂-1/-新电机-1;新手臂-2/joint4^新手臂-1/2020角铝-双孔-1;新手臂-2/joint4^新手臂-1/2020角铝-双孔-5;新手臂-2/joint4^新手臂-1/2020角铝-双孔-2,leftjoint4 c,leftjoint4 d,leftjoint4,continuous,0.3418,-0.01,-0.082,1.5708,0,1.5708,leftjoint3,0,0,1,0,0,-3.14,3.14,,,,,,,,
leftjoint5,0.0101785346040691,9.30231893336853E-06,0.114866949892092,0,0,0,1.05113789872684,0.00202470522047338,1.84484199834478E-08,-0.000306186752830273,0.00328579639703018,7.17708515637608E-10,0.00340020564373822,0,0,0,0,0,0,package://alfa_robot_new_arm_v2/meshes/leftjoint5.STL,1,1,1,1,0,0,0,0,0,0,package://alfa_robot_new_arm_v2/meshes/leftjoint5.STL,,新手臂-2/joint5^新手臂-1/电缸连接件-1;新手臂-2/joint5^新手臂-1/电缸-1,leftjoint5 c,leftjoint5 d,leftjoint5,continuous,0.01,-0.0022,0.098,1.5708,-1.5708,0,leftjoint4,0,0,1,0,0,-3.14,3.14,,,,,,,,
